NO ,NO. PENAWARAN ,DATE,MARKERTING ,CUSTOMER NAME,REMARK (KAROSERI),HARGA ,HARGA (NEW),EXC / INC ,PROGRESS,QUANTITY,SATUAN,KETERANGAN,TOTAL
361,116/R.01QUO/STM/II/25,14-Feb-25,IRWAN,PT. ICHIKO AGRO LESTARI,TANGKI AIR KAP. 5.000 LITER HINO DUTRO 136 HD," 88,800,000 ","88,800,000", INC ,,,,TIDAK JADI OC,0
362,122/R.01QUO/STM/II/25,15-Feb-25,IRWAN,PT. HIBA LOGISTIK JAKARTA,WING BOX HINO FM 280 JW Uk. 9750 x 2500 x 2750 mm," 192,000,000 ","192,000,000", INC ,,,,TIDAK JADI OC,0
363,133/QUO/STM/II/25 ,18-Feb-25,IRWAN,IBU NANDA,TRAINING PENGOPERASIAN FUEL TANK KAP. 20.000 LITER," 3,700,000 ","3,700,000", INC ,,,,TIDAK JADI OC,0
364,148/QUO/STM/II/25,19-Feb-25,IRWAN,CUSTOMER BAPAK IRWAN,BAK BESI 5 WAY HINO DUTRP 115 SDL UK 4700 X 1820 X 500 MM," 49,000,000 ","49,000,000", INC ,,,,TIDAK JADI OC,0
365,149/QUO/STM/II/25,21-Feb-25,IRWAN,PT. EUROTRUCK TRANSINDO,DUMP TRUCK AERO TELESCOPIC MERCY AROCS 4845 (8X4) UK. 8350 X 2800 X 2330 MM, 315.000.000 (EXC) ,"315,000,000", EXC ,,,,TIDAK JADI OC,0
366,180/QUO/STM/II/25,24-Feb-25,IRWAN,CUSTOMER BAPAK IRWAN,SPARE PART CYLINDER ASSY - KRM 200 : 200-0S002 OIL SEAL ROD COVER, 400.000 (EXC) ,"400,000", EXC ,,,,TIDAK JADI OC,0
367,235/QUO/STM/II/25,28-Feb-25,IRWAN,CUSTOMER BAPAK IRWAN,"TANGKI AIR STAINLESS KAP. 16,000 L MITS. FN 61 F HD"," 270,000,000 ","270,000,001", INC ,,,,TIDAK JADI OC,0
368,08/QUO/STM/II/25,03-Feb-25,HENDY,BAPAK IMANUEL TARIGAN,DUMP TRUCK KUBURAN HINO FM 280 JD MINING UK 6.500 X 2.400 X 2.100 MM," 190,000,000 ","190,000,001", INC ,,,,TIDAK JADI OC,0
369,19/QUO/STM/II/25,04-Feb-25,HENDY,CUSTOMER BAPAK HENDY,TOPI CABIN / WIND DEFLECTOR HINO DUTRO, 3.000.000 (EXC) ,"3,000,000", EXC ,,,,TIDAK JADI OC,0
370,19/QUO/STM/II/25,04-Feb-25,HENDY,CUSTOMER BAPAK HENDY,TOPI CABIN / WIND DEFLECTOR HINO JW, 4.500.000 (EXC) ,"4,500,000", EXC ,,,,TIDAK JADI OC,0
371,24/QUO/STM/II/25,04-Feb-25,HENDY,CUSTOMER BAPAK HENDY,BOX BESI ISUZU NMR 81 L UK 6.054 X 2.020 X 2.300 MM," 58,000,000 ","58,000,000", INC ,,,,TIDAK JADI OC,0
372,24/QUO/STM/II/25,04-Feb-25,HENDY,CUSTOMER BAPAK HENDY,OPTIONAL : INTERIOR DALAM LAPIS TRIPLEK 4 MM," 7,500,000 ","7,500,000", INC ,,,,TIDAK JADI OC,0
373,24/QUO/STM/II/25,04-Feb-25,HENDY,CUSTOMER BAPAK HENDY,OPTIONAL : PINTU SAMPING MODEL SLIDING P. 1.000 MM," 3,500,000 ","3,500,000", INC ,,,,TIDAK JADI OC,0
374,40/QUO/STM/II/25,07-Feb-25,HENDY,PT. BUMEN REDJA ABADI - LATUMETEN,TYRE TRUCK + TAIL GATE MITSUBISHI FE 75 SHDX UK. 4.230 X 2.000 MM," 180,000,000 ","180,000,000", INC ,,,,TIDAK JADI OC,0
375,43/QUO/STM/II/25,07-Feb-25,HENDY,PT. DAYAGUNA MOTOR INDONESIA,TRAILLER 40 FEET 3 AXLE - SKELETAL UK. 12.300 X 2.500 MM," 185,000,000 ","185,000,000", INC ,,,,TIDAK JADI OC,0
376,46/QUO/STM/II/25,07-Feb-25,HENDY,PT. PRABU PANDAWA BOGOR - BOGOR,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 75 SHDX UK. 3.880 X 1.840 X 1.000 MM," 54,000,000 ","54,000,000", INC ,,,,TIDAK JADI OC,0
377,46/QUO/STM/II/25,07-Feb-25,HENDY,PT. PRABU PANDAWA BOGOR - BOGOR,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 75 SHDX UK. 3.880 X 1.840 X 1.000 + 300 MM," 58,000,000 ","58,000,000", INC ,,,,TIDAK JADI OC,0
378,47/QUO/STM/II/25,07-Feb-25,HENDY,CUSTOMER BAPAK HENDY,PEMADAM KEBAKARAN SINGLE CABIN KAP. 4.000 LITER MITSUBISHI FE 74 HD , 990.000.000 (EXC) ,"990,000,000", EXC ,,,,TIDAK JADI OC,0
379,48/QUO/STM/II/25,07-Feb-25,HENDY,CUSTOMER BAPAK HENDY,BAK BESI 7 WAY MITSUBISHI FN 62 FL HDR UK. 8.500 X 2.500 X 1.000 MM," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
380,58/QUO/STM/II/25,10-Feb-25,HENDY,CUSTOMER BAPAK HENDY,FLATBED ISUZU FVR 34 S UK. 8.400 X 2.500 MM," 81,500,000 ","81,500,000", INC ,,,,TIDAK JADI OC,0
381,58/QUO/STM/II/25,10-Feb-25,HENDY,CUSTOMER BAPAK HENDY,BAK BESI 7 WAY ISUZU FVR 34 S UK. 8.400 X 2.500 X 850 MM," 92,500,000 ","92,500,000", INC ,,,,TIDAK JADI OC,0
382,62/QUO/STM/II/25,10-Feb-25,HENDY,PT. PRABU PENDAWA MOTOR - BOGOR,DUMP TRUCK KNOCKDOWN MITSUBISHI FE 75 SHDX UK. 3.880 X 1.840 X 700 + 500 MM," 55,000,000 ","55,000,000", INC ,,,,TIDAK JADI OC,0
383,71/QUO/STM/II/25,11-Feb-25,HENDY,PT. ISUZU MOBILINDO PLAZA - MAKASSAR,ARM ROLL STANDART ISUZU NMR 81 HD 6.5," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
384,71/QUO/STM/II/25,11-Feb-25,HENDY,PT. ISUZU MOBILINDO PLAZA - MAKASSAR,CONTAINER TERTUTUP KAP. 5 M3 UK. 3.500 X 2.000 X 1.000 MM," 45,000,000 ","45,000,000", INC ,,,,TIDAK JADI OC,0
385,79/QUO/STM/II/25,12-Feb-25,HENDY,PT. ISUZU MOBILINDO PLAZA - MAKASSAR,SELF LOADER WITH HYDRAULICK JACK ISUZU FVZ 34 U HP (SPESIFIKASI SAJA),,0,  ,,,,TIDAK JADI OC,0
386,89/L.QUO/STM/II/25,13-Feb-25,HENDY,PT. BUMEN REDJA ABADI - KELAPA GADING,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 74 HD UK. 3.880 X 1.840 X 1.000 MM," 90,000,000 ","90,000,000", INC ,,,,TIDAK JADI OC,0
387,100/QUO/STM/II/25,13-Feb-25,HENDY,PT. SRIKANDI DIAMOND MOTOR,DUMP TRUCK MITSUBISHI FN 62 F HDR UK. 6.000 X 2.350 X 1.700 MM," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
388,101/QUO/STM/II/25,13-Feb-25,HENDY,PT. SRIKANDI DIAMOND MOTOR,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 74 HD UK. 3.880 X 1.840 X 1.000 MM," 60,000,000 ","60,000,000", INC ,,,,TIDAK JADI OC,0
389,102/QUO/STM/II/25,13-Feb-25,HENDY,PT. SRIKANDI DIAMOND MOTOR,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 74 HD N UK. 3.880 X 1.840 X 700 + 500 MM," 60,000,000 ","60,000,000", INC ,,,,TIDAK JADI OC,0
390,126/QUO/STM/II/25,18-Feb-25,HENDY,PT. UNITED TRACTOR,SPAREPART HYDRAULIC KRM 201, 29.750.000 (EXC) ,"29,750,000", EXC ,,,,TIDAK JADI OC,0
391,129/QUO/STM/II/25,18-Feb-25,HENDY,PT. ISUINDOMAS PUTRA MEDAN,DUMP TRUCK ISUZU FVR 34 L D UK 5000 X 2400 X 1500 MM," 125,000,000 ","125,000,000", INC ,,,,TIDAK JADI OC,0
392,132/QUO/STM/II/25,18-Feb-25,HENDY,BAPAK JOKO,BODY MIXER KAP. 4 M3 HINO DUTRO 130 HD EURO 2," 275,000,000 ","275,000,000", INC ,,,,TIDAK JADI OC,0
393,160/QUO/STM/II/25,20-Feb-25,HENDY,BAPAK HADID RAHMAWAN PUTRO,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK. 12.300 X 2.500 MM," 310,000,000 ","310,000,000", INC ,,,,TIDAK JADI OC,0
394,178/QUO/STM/II/25 A,24-Feb-25,HENDY,PT. HINO CEMACO SEMARANG,DUMP TRUCK 8M3 HINO DUTRO 136 HDX UK. 3880 X 1840 X 700 + 500 MM," 75,000,000 ","75,000,000", INC ,,,,TIDAK JADI OC,0
395,181/QUO/STM/II/25,24-Feb-25,HENDY,PT. TRANS INDO UTAMA - MEDAN,BODY MIXER KAP. 7 M3 HINO FM 280 JM ," 285,000,000 ","285,000,000", INC ,,,,TIDAK JADI OC,0
396,184/QUO/STM/II/25,24-Feb-25,HENDY,PT. BSN TECHNOLOGI,WING BOX HINO FL 280 JW UK. 9750 X 2430 X 2750 MM," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
397,184/R.01QUO/STM/II/25,22-Sep-25,HENDY,PT. CEMACO MAKMUR TRANSINDO QQ PT. BSN ,WING BOX HINO FL 280 JW UK. 9750 X 2430 X 2750 MM," 21,000,000 ","21,000,000", INC ,,,,TIDAK JADI OC,0
398,192/QUO/STM/II/25,25-Feb-25,HENDY,PT. PRABU PANDAWA BOGOR,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 74 HD UK 3880 X 1840 X 700 + 500 (RAMP) MM," 55,000,000 ","55,000,000", INC ,,,,TIDAK JADI OC,0
399,206/QUO/STM/II/25,26-Feb-25,HENDY,PT. SINAR ADI PUTRATAMA,INSTAL CRANE MITSUBISHI FN 62 FL HD R (FLAT BED)," 35,000,000 ","35,000,000", INC ,,,,TIDAK JADI OC,0
400,209/QUO/STM/II/25,27-Feb-25,HENDY,BAPAK BANCIN,VALVE PLATE (KACAMATA POMPA) KP 1505 , 3.000.000 (EXC) ,"3,000,000", EXC ,,,,TIDAK JADI OC,0
401,218/QUO/STM/II/25,03-Mar-25,HENDY,PT. TUGU BETON SEMARANG,BODY MIXER KAP. 9M3 HINO FM 280 JM," 250,000,000 ","250,000,000", INC ,,,,TIDAK JADI OC,0
402,220/QUO/STM/II/25,27-Feb-25,HENDY,PT. INTRACO DHARMA EKATAMA,DUMP TRUCK 25M3 KNOCKDOWN QUESTER CWE 280 WB 4300 UK 5930 X 2340 X 1000 + 800," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
403,221/QUO/STM/II/25,27-Feb-25,HENDY,PT. UNITED TRACTORS,PEMASANGAN HYDRAULIC KRM 201 DI LOKASI, 25.000.000 (EXC) ,"25,000,000", EXC ,,,,TIDAK JADI OC,0
404,144/QUO/STM/II/25,19-Feb-25,RATNASARI,PT. MITSUBISHI CIPUTAT,FUEL TANK KAP. 16.000 LITER SYSTEM SBL MITSUBISHI FN 61 FS,,0,  ,,,,TIDAK JADI OC,0
405,197/QUO/STM/II/25,25-Feb-25,RATNASARI,CUSTOMER IBU RATNASARI,"ARM ROLL KAP. 6 TON DOUBLE ACTION DUTRO 136 HDX DAN CONTAINER TERBUKA KAP 7 M3 UK 3,8 X 1,9 X 1,0 m",,0,  ,,,,TIDAK JADI OC,0
406,03/QUO/STM/II/25,01-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,DOUBLE CABIN + BAK BESI 3 WAY HINO DUTRO 136 HDX,,0,  ,,,,TIDAK JADI OC,0
407,09/QUO/STM/II/25,03-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BODY MIXER KAP 3 M3 HINO DUTRO 136 HD MX ,,0,  ,,,,TIDAK JADI OC,0
408,11/QUO/STM/II/25,03-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,OPEN CARGO HINO DUTRO 136 HDL UK 5.900 X 1.900 X 1.900 MM,,0,  ,JADI OC,,,JADI OC,0
409,28/QUO/STM/II/25,05-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BAK BESI 5 WAY + INSTALL CRANE HINO DUTRO 136 HDL UK. 4.600 X 2.000 X 700 MM,,0,  ,,,,TIDAK JADI OC,0
410,32/QUO/STM/II/25,05-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BAK BESI 3 WAY + INSTALL CRANE HINO DUTRO 136 HDX UK. 3.450 X 2.045 X 500 MM,,0,  ,,,,TIDAK JADI OC,0
411,42/QUO/STM/II/25,07-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,BODY DUMP TRUCK KNOCKDOWN HINO DUTRO 136 HDX UK. 4.200 X 1.826 X 700 + 800 MM,,0,  ,,,,TIDAK JADI OC,0
412,59/QUO/STM/II/25,10-Feb-25,WALTHERUS,PT. PATRACO MOTOR,VACUM TANK KAP. 5.000 LITER SMALL STANDART,,0,  ,JADI OC,,,JADI OC,0
413,93/QUO/STM/II/25,13-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,DUMP TRUCK HINO FM 280 JD UK. 6.000 X 2.400 X 1.700 MM,,0,  ,,,,TIDAK JADI OC,0
414,94/QUO/STM/II/25,13-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BOX BESI HINO FG 260 JP UK. 7550 X 2.500 X 2.700 MM,,0,  ,,,,TIDAK JADI OC,0
415,94/QUO/STM/II/25,13-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BOX BESI HINO FG 260 JS UK. 8.490 X 2.500 X 2.700 MM,,0,  ,,,,TIDAK JADI OC,0
416,108/QUO/STM/II/25,14-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,TRAILLER 40 FEET 3 AXLE HINO FM 280 TH UK 12300 X 2500 MM,,0,  ,,,,TIDAK JADI OC,0
417,108/QUO/STM/II/25,14-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,TRAILLER 40 FEET 3 AXLE SKELETAL (RANGKA) UK 12300 X 2500 MM,,0,  ,,,,TIDAK JADI OC,0
418,115/QUO/STM/II/25,14-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,PERUBAHAN CORONG ATAS MIXER MODEL KOTAK UK 1500 X 1500 MM,,0,  ,,,,TIDAK JADI OC,0
419,124/QUO/STM/II/25,18-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,WATER SPRAYER KAP. 16.000 LITER SYSTEM MANUAL HINO FM 280 JD,,0,  ,JADI OC,,,JADI OC,0
420,130/QUO/STM/II/25,18-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,WATER SPRAYER KAP. 10.000 LITER SYSTEM MANUAL HINO FG 260 JK,,0,  ,,,,TIDAK JADI OC,0
421,131/QUO/STM/II/25,27-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,FUEL TANK KAP. 10.000 LITER HINO FG 260 JJ,,0,  ,,,,TIDAK JADI OC,0
422,155/QUO/STM/II/25,20-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,COMPACTOR 10 M3 HINO FG 260 JJ ,,0,  ,,,,TIDAK JADI OC,0
423,156/QUO/STM/II/25,20-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,SELF LOADER HYDRAULICK JACK HINO 136 HDL 6X2 UK 5500 X 2000 MM,,0,  ,,,,TIDAK JADI OC,0
424,161/QUO/STM/II/25,20-Feb-25,WALTHERUS,PT. PATRACO MOTOR,WATER SPRAYER KAP. 20.000 LITERN (SYSTEM HYDRAULIC) HINO FM 280 JD,,0,  ,,,,TIDAK JADI OC,0
425,190/QUO/STM/II/25,25-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BAK BESI 3 WAY + TAIL GATE HINO DUTRO 136 HD UK 4250 X 2000 X 600 MM,,0,  ,,,,TIDAK JADI OC,0
426,204/QUO/STM/II/25,26-Feb-25,WALTHERUS,PT. PATRACO MOTOR,BOX BESI HINO 110 HDL UK 5650 X 2000 X 2200 MM,,0,  ,,,,TIDAK JADI OC,0
427,211/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. SULAWESI BERLIAN MOTOR,MEDIUM BUS TOURIST - BUS TAMBANG MITSUBISHI FE 84 GBC,,0,  ,,,,TIDAK JADI OC,0
428,213/QUO/STM/II/25,27-Feb-25,WALTHERUS,PT. KUMALA MOTOR SEJAHTERA,FUEL TANK KAP 10.000 LITER SISTEM FULL BOTTOM LOADING HINO FG 260 JJ,,0,  ,,,,TIDAK JADI OC,0
429,214/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. PATRACO MOTOR,SPARE PART FULL BOTTOM LOADING : RADIO DIG DUAL BAND / EQV,,0,  ,,,,TIDAK JADI OC,0
430,214/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. PATRACO MOTOR,SPARE PART FULL BOTTOM LOADING : TABUNG PEMADAM 3 KG + BRACKET,,0,  ,,,,TIDAK JADI OC,0
431,214/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. PATRACO MOTOR,SPARE PART FULL BOTTOM LOADING : LOTTO BOX 2 SYSTEM,,0,  ,,,,TIDAK JADI OC,0
432,214/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. PATRACO MOTOR,SPARE PART FULL BOTTOM LOADING : PINTEL HOOK STANDART ASB,,0,  ,,,,TIDAK JADI OC,0
433,227/QUO/STM/II/25,28-Feb-25,WALTHERUS,PT. PATRACO MOTOR,WATER SPRAYER KAP. 18.000 LITER SYSTEM HYDRAULIC HINO FM 280 JD,,0,  ,,,,TIDAK JADI OC,0
434,49/QUO/STM/II/25,08-Feb-25,HENDRY MIN,CUSTOMER BAPAK HENDRY MIN,MEDIUM BUS SEKOLAH NON AC MITSUBISHI FE 84BC N," 367,000,000 ","367,000,000", INC ,,,,TIDAK JADI OC,0
435,51/QUO/STM/II/25,08-Feb-25,HENDRY MIN,CUSTOMER BAPAK HENDRY MIN,DEREK HYDRAULIC KAP. 25 TON HINO FM 280 JD," 790,000,000 ","790,000,000", INC ,,,,TIDAK JADI OC,0
436,53/QUO/STM/II/25,10-Feb-25,HENDRY MIN,CUSTOMER BAPAK HENDRY,BAK BESI 3 WAY HINO DUTRO 136 HD UK. 4.250 X 2.000 X 700 MM," 38,250,000 ","38,250,000", INC ,,,,TIDAK JADI OC,0
437,69/QUO/STM/II/25,12-Feb-25,HENDRY MIN,PT. ARMADA MOTOR,BODY DUMP TRUCK KNOCKDOWN HINO FM 280 JD UK. 5.930 X 2.340 X 1.000 + 1.000 MM," 160,000,000 ","160,000,000", INC ,,,,TIDAK JADI OC,0
438,178/QUO/STM/II/25 B,22-Feb-25,HENDRY MIN,CUSTOMER BAPAK HENDRY MIN,SELF LOADER WITH HYDRAULIC JACK HINO FM 280 JW UK. 9210 X 2800 MM," 360,000,000 ","360,000,000", INC ,,,,TIDAK JADI OC,0
439,212/QUO/STM/II/25,27-Feb-25,HENDRY MIN,PT. HUDAYA MAJU MANDIRI,BODY BAK BESI 7 WAY HINO FG 260 JS UK 8450 X 2500 X 850 MM," 107,500,000 ","107,500,000", INC ,,,,TIDAK JADI OC,0
440,22/QUO/STM/II/25,04-Feb-25,DEDY,PT. BERKAH MEDIKA WIBAWATAMA ,INTERIOR MOBIL DONOR DARAH TOYOTA HIACE COMMUTER," 168,250,000 ",0, INC ,,,,TIDAK JADI OC,0
441,226/R.01QUO/STM/II/25,19-May-25,EKO ARYO,PT. ASTRA UD TRUCK PALEMBANG,LOW BED TRAILLER 3 AXLE 40 TON," 679,000,000 ","679,000,000", INC ,,,,TIDAK JADI OC,0
442,226/R.02QUO/STM/II/25,31-May-25,EKO ARYO,PT. ASTRA UD TRUCK PALEMBANG,LOW BED TRAILLER 3 AXLE 40 TON," 775,000,000 ","775,000,000", INC ,,,,TIDAK JADI OC,0
443,06/QUO/STM/II/25,01-Feb-25,THRY,PT. DIPO PAHALA OTOMOTIF,FUEL TANK KAP. 24.000 LITER (SYSTEM SBL) MITSUBISHI FN 62 F HD R," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
444,20/QUO/STM/II/25,04-Feb-25,THRY,BAPAK AHMAD FAUZI,BODY DUMP TRUCK SAMPAH + KNOCKDOWN MITSUBISHI FE 74 HDN UK 3.880 X 1.840 X 1.000 + 400 MM," 83,000,000 ","83,000,000", INC ,,,,TIDAK JADI OC,0
445,111/QUO/STM/II/25,14-Feb-25,THRY,PT. MITRA SALAM PRATAMA,FUEL TANK KAP. 8000 LITER (SISTEM SBL) HINO FG 260 JK," 234,000,000 ","234,000,000", INC ,,,,TIDAK JADI OC,0
446,153/QUO/STM/II/25,19-Feb-25,THRY,PT. TOYOTA BENGKULU ,BODY DUMP TRUCK TOYOTA DYNA 136 HT HI-GEAR UK 3800 X 1840 X 1200 MM," 65,000,000 ","65,000,000", INC ,,,,TIDAK JADI OC,0
447,183/QUO/STM/II/25,24-Feb-25,THRY,PT. ASTRA ISUZU MAKASAR,TANGKI VACUM KAP 5000 LITER ISUZU NMR 81 HD," 180,000,000 ","180,000,000", INC ,,,,TIDAK JADI OC,0
448,191/QUO/STM/II/25,25-Feb-25,THRY,IBU IRMA,LUBE TRUCK HINO FM 280 JD UK 6600 X 2500 MM," 965,000,000 ","965,000,000", INC ,,,,TIDAK JADI OC,0
449,195/QUO/STM/II/25,25-Feb-25,THRY,BAPAK ADI WIBOWO,FLAT BED MITSUBISHI FE 71 L UK 4700 X 1750 MM," 36,000,000 ","36,000,000", INC ,,,,TIDAK JADI OC,0
450,196/QUO/STM/II/25,25-Feb-25,THRY,IBU LENNY,TANGKI AIR KAP. 16.000 LITER HINO FM 280 JD UK 5600 X 1500 X 2300 MM," 150,000,000 ","150,000,000", INC ,,,,TIDAK JADI OC,0
451,198/QUO/STM/II/25,25-Feb-25,THRY,CUSTOMER IBU THRY,TANGKI VACUM KAP.13.000 LITER MITSUBISHI FE 62 F HD R," 315,000,000 ","315,000,000", INC ,,,,TIDAK JADI OC,0
452,199/QUO/STM/II/25,25-Feb-25,THRY,IBU LENNY,TANGKI BBM FULL DISPENSING KAP. 15.000 LITER (SYSTEM MANUAL) MITSUBISHI FN 62 FHD," 327,500,000 ","327,500,000", INC ,,,,TIDAK JADI OC,0
453,234/QUO/STM/II/25,28-Feb-25,THRY,PT. INDOGAS CIPTA ABADI,"PENAMBAHAN SPEK BAK BESI MITSUBISHI FE 74 HD : ROPE HANGER PIPA 3/4"""," 1,500,000 ","1,500,000", INC ,,,,TIDAK JADI OC,0
454,17/QUO/STM/III/25,04-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,MINI BUS MANHAULER 9+1 SEATS ISUZU D MAX SC 4X4, 131.450.000 (EXC) ,"131,450,000", EXC ,,,,TIDAK JADI OC,0
455,20/QUO/STM/III/25,04-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,MANHAULER- AC 55 + 3 SEATS HINO FM 280 JW," 692,500,000 ","692,500,000", INC ,,,,TIDAK JADI OC,0
456,23/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. RAJAWALI EMAS ANCORA LESTARI,BAK BESI 3 WAY + INSTALL CRANE ISUZU NMR 81 HD UK 3150 X 2045 X 500 MM," 300,000,000 ","300,000,000", INC ,OC 22/MKT/III/25 (1 UNIT),1,UNIT,JADI OC,"300,000,000"
457,24/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. ASTRA ISUZU - CILEUNGSI,WING BOX HYDRAULIC ISUZU FVZ 34 U HP UK 9660 X 2500 X 2750 MM," 155,400,000 ","155,400,000", INC ,,,,TIDAK JADI OC,0
458,26/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. ASTRA UD TRUCK - PALEMBANG,TANDEM TRUCK SCANIA P410 WB6350 UK 7470 X 2500 MM LANTAI BORDES 8 MM," 310,000,000 ","310,000,000", INC ,,,,TIDAK JADI OC,0
459,26/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. ASTRA UD TRUCK - PALEMBANG,TANDEM TRUCK SCANIA P410 WB6350 UK 7470 X 2500 MM LANTAI BORDES 6 MM," 300,000,000 ","300,000,000", INC ,,,,TIDAK JADI OC,0
460,27/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. ASTRA ISUZU - PEKANBARU,BAK BESI 7 WAY ISUZU FVM 34 U HP UK 9660 X 2500 X 1000 MM," 107,000,000 ","107,000,000", INC ,,,,TIDAK JADI OC,0
461,29/QUO/STM/III/25,04-Mar-25,EKO ARYO,PT. RAJAWALI EMAS ANCORA LESTARI,LOW BOY TRAILLER 40 FEET 3 AXLE UK 15.050 (3550 +6500 + 5000 MM)," 750,000,000 ","750,000,000", INC ,,,,TIDAK JADI OC,0
462,36/QUO/STM/III/25,05-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,SELF LOADER WITH HYDRAULICK JACK ISUZU FVZ 34 U HP UK 9060 X 2500 + 200 MM," 355,000,000 ","355,000,000", INC ,,,,TIDAK JADI OC,0
463,46/QUO/STM/III/25,05-Mar-25,EKO ARYO,PT. RAJAWALI EMAS ANCORA LESTARI,WATER SPRAYER KAP 14.000 LITER SYSTEM HYDRAULIC HINO FM 280 JD ," 461,500,000 ","461,500,000", INC ,OC 21/MKT/III/25 (1 UNIT),1,UNIT,JADI OC,"461,500,000"
464,56/QUO/STM/III/25,06-Mar-25,EKO ARYO,PT. RAJAWALI EMAS ANCORA LESTARI,FUEL TANK KAP 16.000 LITER ISUZU FVZ 34 N HP ," 578,000,000 ","578,000,000", INC ,OC 20/MKT/III/25 R.01 (1 UNIT),1,UNIT,JADI OC,"578,000,000"
465,70/QUO/STM/III/25,10-Mar-25,EKO ARYO,PT. BEST AGRO GROUP,SPARE PART KRM 200 : DRIVE SHAFT ASSY, 3.300.000 (EXC) ,"3,300,000", EXC ,,,,TIDAK JADI OC,0
466,70/QUO/STM/III/25,10-Mar-25,EKO ARYO,PT. BEST AGRO GROUP,SPARE PART KRM 200 : HOSE PRESSURE, 1.600.000 (EXC) ,"1,600,000", EXC ,,,,TIDAK JADI OC,0
467,108/QUO/STM/III/25,13-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,SELF LOADER WITH HYDRAULIC JACK ISUZU FVZ 34 U HP UK 9100 X 2500 MM," 321,900,000 ","321,900,000", INC ,,,,TIDAK JADI OC,0
468,124/QUO/STM/III/25,15-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,SPARE PART ISO TANK SELAMAT AGRO : SEAL ISO TANK ," 22,000,000 ","22,000,000", INC ,,,,TIDAK JADI OC,0
469,128/QUO/STM/III/25,17-Mar-25,EKO ARYO,BAPAK JULIAN,DUMP TRUCK ISUZU TRAGA UK 2500 X 1600 X 450 MM," 45,000,000 ","45,000,000", INC ,,,,TIDAK JADI OC,0
470,138/QUO/STM/III/25 ,18-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,MANHAULER 40 SEATS SHACMAN F3000," 630,000,000 ","630,000,000", INC ,,,,TIDAK JADI OC,0
471,139/QUO/STM/III/25,18-Mar-25,EKO ARYO,CUSTOMER BAPAK EKO,VACUUM TANK KAP 12.000 LITER QUESTER CWE 280 WB 43," 398,500,000 ","398,500,000", INC ,,,,TIDAK JADI OC,0
